#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-29.91999999999983            -1081.368782246128            -1.523781101298027e-13        -1.451847322919697e-12        -92.51432322348059            
-29.90999999999983            -1081.351631940448            -1.963915141622863e-13        -2.092478967874456e-12        -104.0099026650352            
-29.89999999999983            -1081.332477343839            -2.983724378680108e-14        -1.339971536507001e-12        -115.4813698524861            
-29.88999999999983            -1081.311322892113            -2.739614091140652e-13        -7.339476248979793e-13        -126.9261224691416            
-29.87999999999982            -1081.288173473199            -1.24818211322264e-12         -2.402201701445783e-12        -138.3415822974857            
-29.86999999999982            -1081.263034422741            -2.23709939461969e-13         -9.602440370626297e-13        -149.7251975492131            
-29.85999999999982            -1081.235911519279            -6.540601393822953e-13        -1.883179376327426e-12        -161.0744451724064            
-29.84999999999982            -1081.206810979031            -8.215650382226158e-15        -9.662669969712212e-13        -172.3868331340399            
-29.83999999999982            -1081.175739450294            -7.674416657721395e-15        -1.280217251653504e-12        -183.6599026760624            
-29.82999999999982            -1081.142704007424            -1.151106987506978e-12        -1.819436962202658e-12        -194.8912305425364            
-29.81999999999982            -1081.107712144465            -8.975875598338234e-13        -1.90684967815713e-12         -206.0784311764613            
-29.80999999999981            -1081.070771768364            5.056094432021041e-13         -7.294876508412429e-13        -217.2191588844904            
-29.79999999999981            -1081.031891191841            -1.118827253066002e-13        -1.52220597238184e-12         -228.3111099666392            
-29.78999999999981            -1080.991079125865            -1.402530869221152e-12        -1.970054328004345e-12        -239.3520248105311            
-29.77999999999981            -1080.948344671791            -1.71686276306815e-12         -2.474943860963918e-12        -250.3396899474998            
-29.76999999999981            -1080.903697313119            -1.426414542038401e-12        -1.651144498904245e-12        -261.2719400688326            
-29.75999999999981            -1080.857146906918            -3.44960171538844e-13         -9.536225975548263e-13        -272.1466600007083            
-29.7499999999998             -1080.808703674915            -3.773509282822829e-13        -1.803149643486712e-12        -282.9617866359404            
-29.7399999999998             -1080.75837819423             4.998779168374767e-13         -4.193208280600658e-13        -293.7153108207393            
-29.7299999999998             -1080.706181387808            3.019806626980426e-13         -5.550438580970152e-13        -304.4052791949633            
-29.7199999999998             -1080.652124514517            -8.716083410575948e-13        -1.876547528478767e-12        -315.0297959843599            
-29.7099999999998             -1080.596219158947            -3.227279554707252e-13        -8.869918688425571e-13        -325.5870247430672            
-29.6999999999998             -1080.538477220915            -8.322786904102486e-13        -1.20136886549993e-12         -336.0751900446267            
-29.6899999999998             -1080.478910904654            -7.013001290800958e-13        -1.510309238783591e-12        -346.49257912064              
-29.67999999999979            -1080.417532707755            -8.133771434160053e-13        -1.535539057018198e-12        -356.837543445048             
-29.66999999999979            -1080.354355409811            -2.886302308269251e-13        -1.592510845416228e-12        -367.1085002627359            
-29.65999999999979            -1080.289392060807            4.689582056016661e-13         -3.882796861809368e-13        -377.3039340614471            
-29.64999999999979            -1080.293726404767            2.800815135373114e-13         -1.384184433739222e-12        -370.8326466357774            
-29.63999999999979            -1080.228175952454            2.814137811668616e-13         -1.467725246895313e-12        -380.3035973880274            
-29.62999999999979            -1080.160981257678            -5.132561042842099e-13        -1.555842260581031e-12        -389.6739693416649            
-29.61999999999978            -1080.092160034428            1.439126595670359e-13         -1.481207517750605e-12        -398.9419419476707            
-29.60999999999978            -1080.021730309578            -3.429201367310952e-13        -1.78161305153246e-12         -408.1057505349387            
-29.59999999999978            -1079.949710413062            1.425248807862545e-13         -1.020308837418327e-12        -417.1636870840521            
-29.58999999999978            -1079.876118967921            -1.246225345141738e-13        -1.002958133211607e-12        -426.1141009299063            
-29.57999999999978            -1079.800974880243            -8.117118088790676e-13        -1.355155571092226e-12        -434.9553993923092            
-29.56999999999978            -1079.724297328988            -2.164934898019055e-15        -1.020343531887846e-12        -443.6860483335001            
-29.55999999999977            -1079.64610575573             -1.027067320080732e-12        -1.974108376767703e-12        -452.3045726422164            
-29.54999999999977            -1079.566419854322            -8.992251387951455e-13        -1.253389753097522e-12        -460.8095566432148            
-29.53999999999977            -1079.485259560477            1.146943651164634e-12         -8.341001500600242e-13        -469.1996444313932            
-29.52999999999977            -1079.40264504133             -2.672029264516596e-13        -1.590165499276708e-12        -477.4735401307692            
