#00)dt*it                     01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)angle                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
23.78                         -987.8961199121268            0.9577522706336599            -3.857434487724251            0.1573503124434558            0.4432347596989361            17.03357801149046             0.9147963914234575            -42.58813403194295            -4.274505022217559            5685.352149562329             
23.8                          -989.9794243974696            0.9514220028472098            -3.857929310196752            -0.647743165928082            -0.04760865573889288          17.05202756997003             0.9205504262113495            -41.12900570095133            -3.777207333987916            5594.640057473105             
23.82                         -991.9966120551993            0.9455669719765989            -3.858098700585715            -0.1773780195759748           -0.6211070925331358           17.07041335269333             0.9178492009001592            -39.85298973992352            -3.498392687523596            5495.028906267873             
23.84                         -993.9779707735629            0.9394946191405267            -3.859064829775921            0.1230352048955011            0.3444363070505017            17.0887376514077              0.9052462899553633            -38.09616064123291            -2.673230474260462            5395.444332938255             
23.86                         -995.9031702261246            0.9337147047611345            -3.859977647466728            -0.7942220477359213           0.2661673944280243            17.10705290615559             0.9145375702784116            -36.36841996088772            -1.884445781102855            5289.085057377049             
23.88                         -997.7620036236679            0.9283836515931575            -3.859973508786087            -0.1922691847123595           -0.1395878657896778           17.12532801088447             0.8980062287644004            -34.99388060628689            -1.636473453706379            5172.715761831136             
23.9                          -999.562680462423             0.9232053780726044            -3.860233249368841            -0.1789562964004989           0.0505395726408334            17.14351337516522             0.9064319088823433            -33.49972890799095            -1.225956624756843            5053.047628758037             
23.92                         -1001.322229099734            0.9177885966767544            -3.860737635468649            -0.09651343146808818          -0.0002386932471080311        17.16167484599601             0.8835725300629615            -31.66901713679569            -0.5642700966589884           4931.394313394909             
23.94                         -1003.001997234837            0.9131394030422966            -3.861414752130494            -0.1704670797442038           0.1102823668614217            17.17975333758372             0.9178379087595874            -30.11819977261098            0.04520242708565969           4803.456464457684             
23.96                         -1004.6198428119              0.9087999114159496            -3.861677367862487            -0.4296428993866134           0.1923060966674152            17.19777752557466             0.8946727661057773            -28.74700129371027            0.4006793161389025            4669.779806737507             
23.98                         -1006.18317437369             0.90446688318873              -3.861698237253003            0.1219952615331375            -0.3277422344408755           17.21573031153436             0.8926728047248577            -27.33110583305859            0.6729653180652805            4532.671072078802             
24                            -1007.684835722719            0.9004265599265998            -3.861291025817778            -0.2543440142682756           0.1552547016762493            17.23362311815597             0.8843624318969552            -26.10302291385753            0.6792597670406137            4390.704759195584             
24.02                         -1009.128431725367            0.8965137225795982            -3.860873236797499            -0.454253580021228            -0.1296432115801759           17.25144875127321             0.9009907442574846            -24.85470758849013            0.688945884171549             4246.04225014745              
24.04                         -1010.512736929242            0.8927206311618131            -3.860924465054855            -0.2865508559455331           -0.1465836737606868           17.26919619521068             0.8744936534921597            -23.45589131009069            0.9662075696674879            4100.173498734744             
24.06                         -1011.850592838902            0.8886334392628045            -3.860765599906794            -0.7248754282755238           0.08988891775165152           17.28691368703073             0.864179897864599             -21.83103214250718            1.246693096373684             3952.327565771484             
24.08                         -1013.116473836631            0.8851386805356961            -3.861304165061896            0.2311406640859003            -0.09826140443429374          17.30454192968507             0.8607629898819413            -20.30327652503               1.791920912190468             3802.617000340443             
24.1                          -1014.320449031015            0.882142118391174             -3.860867387752453            -0.2993478717538339           0.04366863934374981           17.32213529853109             0.8940768895243436            -19.2796849734411             1.699928364743                3647.5804874773               
24.12                         -1015.469597910839            0.8791212545249082            -3.8605192056597              -0.2919021879847138           0.03884098507650887           17.33966309780632             0.861269854540896             -18.13376892165738            1.69842495702295              3491.468618966775             
24.14                         -1016.561667928933            0.8760803606952503            -3.860214191089632            -0.229635526212624            0.1815024602919144            17.35709236463354             0.8743744969893434            -16.8828462742649             1.761039161605046             3334.599900028832             
24.16                         -1017.586271289337            0.8738449954198606            -3.859139083193733            -0.0009099127413359573        -0.1546382346819162           17.37445053777034             0.8794559016335876            -16.29887607361979            1.211148068866253             3173.769670706982             
24.18                         -1018.554085835143            0.871578506720767             -3.859531113578395            0.1805823079472902            0.3333866455308077            17.39171756237721             0.8697563005716499            -15.22755952752405            1.515432028403817             3015.196826351522             
24.2                          -1019.462677402547            0.8696563563091101            -3.859231344992424            -0.0279450710846517           -0.1318933487937142           17.40888838670839             0.8625284434605375            -14.50596613329067            1.373842331121921             2854.566115075507             
24.22                         -1020.32847166336             0.867197244366422             -3.859182489364398            0.09169735477437192           0.1356719730617911            17.42606084718547             0.845166854675501             -13.29287271306507            1.54407055232334              2694.018647916971             
24.24                         -1021.138607023248            0.8646367122678807            -3.858986456864133            -0.001170114824242492         -0.3252839158595317           17.44310251658202             0.8324682174278975            -11.9843042851276             1.689483867129622             2533.483199259885             
24.26                         -1021.889698939159            0.8625504458933346            -3.85859408502583             -0.4189321095266595           0.003442531525802374          17.46007280508896             0.8424290100587251            -10.98618549835031            1.625255099348139             2371.86387828708              
24.28                         -1022.580144514272            0.8611341612197063            -3.858907026120588            -0.2531841309887704           0.04112521817548777           17.47697661505091             0.8543780030952622            -10.19346612369853            1.799017120735592             2210.503534298088             
24.3                          -1023.219381880121            0.8598517880226543            -3.858676499327687            -0.07286754123079171          0.1568239452432211            17.49382373864317             0.8245461122390815            -9.580709598766408            1.660802582431532             2048.443003102379             
24.32                         -1023.810051286916            0.8582502009258079            -3.858191441484329            -0.2967423553870026           0.2553127921009402            17.5105728738752              0.8134309201729832            -8.762848511665307            1.4930084944372               1886.871354905261             
24.34                         -1024.349979382535            0.856644429567794             -3.858204446018872            -0.04246456225205555          -0.6532182229265528           17.52727796935918             0.8044438212482145            -7.754318039012126            1.625643828657381             1725.925454795163             
24.36                         -1024.835769436491            0.8556090249055723            -3.857962136409183            -0.08145671143554249          0.09553992231572415           17.54391079320588             0.8398375063286867            -7.147553722357442            1.489194931578734             1565.137501539352             
24.38                         -1025.27082923654             0.8546052135633122            -3.858064517823001            -0.2243629019693514           0.1592425781386323            17.56043505926961             0.8187112898283104            -6.417870463055254            1.558131092112539             1405.733015258137             
