#00)theta                     01)e_pot                      02)forces[0]                  03)forces[1]                  04)torque                     
-28.4599999999996             -1102.256759785286            -1.229905066679748e-12        -5.596634267135414e-13        22395.28840729563             
-28.4499999999996             -1106.167266806511            -1.330102694652169e-12        2.033928581113287e-13         22415.44264572228             
-28.4399999999996             -1110.081093067966            -2.017386258046372e-12        -4.032330025438569e-13        22433.32340178134             
-28.4299999999996             -1113.997841417412            -1.943334382303874e-12        3.504974088741619e-13         22448.92666885252             
-28.4199999999996             -1117.917114033783            -1.381061931482463e-12        -1.348920974919565e-13        22462.24878973036             
-28.4099999999996             -1121.838512488364            -1.460720433499318e-12        2.616795669041494e-13         22473.28645878574             
-28.39999999999959            -1125.761637806326            -2.014777233938503e-12        -8.714140520282854e-13        22482.03672400002             
-28.38999999999959            -1129.686090528612            -1.064759391766756e-12        3.61710661422876e-13          22488.49698887001             
-28.37999999999959            -1133.611470774151            -1.286526440935631e-12        -4.420908084057373e-13        22492.66501418354             
-28.36999999999959            -1137.537378302346            -2.090716488822864e-12        7.560618797697316e-14         22494.5389196636              
-28.35999999999959            -1141.463412575871            -1.173727781633715e-12        -4.884981308350689e-13        22494.11718548065             
-28.34999999999959            -1145.389172823692            -1.621702772069966e-12        -4.671818487622659e-13        22491.39865363263             
-28.33999999999958            -1149.314258104337            -1.162625551387464e-12        -6.161737786669619e-13        22486.38252919093             
-28.32999999999958            -1153.238267369353            -1.613764677443896e-12        -5.159206395433102e-13        22479.06838141258             
-28.31999999999958            -1157.160799526966            -1.208755318060639e-12        3.93796106834543e-13          22469.45614471767             
-28.30999999999958            -1161.081453505882            -1.757871626040242e-12        2.97539770599542e-14          22457.54611953147             
